City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
butaritari,3.0707,172.7902,27.6,82,45,7.11,KI,1612405731
pacific grove,36.6177,-121.9166,11.67,76,1,2.57,US,1612405681
saskylakh,71.9167,114.0833,-38.67,78,0,2.98,RU,1612405765
inzer,54.2167,57.5556,-2.38,97,100,1.51,RU,1612405766
bure,10.7,37.0667,15.06,35,26,2.08,ET,1612405768
asbe teferi,9.0833,40.8667,12.09,40,3,0.9,ET,1612405769
nambutalai,9.7167,79,22.82,76,88,5.77,IN,1612405771
kaitangata,-46.2817,169.8464,13.33,63,0,6.71,NZ,1612405773
new norfolk,-42.7826,147.0587,22.78,64,20,3.09,AU,1612405774
clyde river,70.4692,-68.5914,-28,76,90,3.09,CA,1612405776
faanui,-16.4833,-151.75,26.76,76,98,7.66,PF,1612405777
san patricio,28.017,-97.5169,19,77,75,7.72,US,1612405779
saint-philippe,-21.3585,55.7679,24.44,73,0,2.06,RE,1612405781
arraial do cabo,-22.9661,-42.0278,24.8,86,0,9.99,BR,1612405782
tartus,34.889,35.8866,17,42,0,1.54,SY,1612405785
victor harbor,-35.5667,138.6167,19,72,90,4.12,AU,1612405787
hayrabolu,41.2131,27.1069,6,100,90,1.54,TR,1612405789
madimba,-10.4,40.3333,24.81,82,100,1.69,TZ,1612405790
montgomery village,39.1768,-77.1953,1.67,60,1,6.69,US,1612405792
mujiayingzi,42.1167,118.7833,-6.64,87,0,5.63,CN,1612405793
langxiang,46.95,128.8833,-23.2,83,11,2.45,CN,1612405795
chuy,-33.6971,-53.4616,19.88,93,100,8.3,UY,1612405614
longyearbyen,78.2186,15.6401,-5,68,75,7.2,SJ,1612405775
gobabis,-22.45,18.9667,19.7,61,44,1.97,NA,1612405800
mataura,-46.1927,168.8643,18.72,34,0,3.91,NZ,1612405802
dhidhdhoo,6.8833,73.1,27.67,68,40,3.25,MV,1612405803
ancud,-41.8697,-73.8203,15,82,0,2.06,CL,1612405775
mishkino,55.3389,63.9175,-14.6,93,68,1.61,RU,1612405807
capao da canoa,-29.7456,-50.0097,25.08,92,100,0.91,BR,1612405510
saint-joseph,-21.3667,55.6167,24.44,73,0,2.06,RE,1612405810
hammerfest,70.6634,23.6821,-3,68,40,10.29,NO,1612405812
lebu,-37.6167,-73.65,14.45,89,3,5.98,CL,1612405813
